RESULTADOS_CONVOCATORIA;CÓDIGO DE GRUPO;NOMBRE DEL GRUPO;LÍDER DEL GRUPO;GRUPO RECONOCIDO;GRUPO INSCRITO PARA MEDICIÓN;CLASIFICACIÓN DEL GRUPO
2019 - Convocatoria 833 - 2018;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;No;Reconocido
2019 - Convocatoria 833 - 2018;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;No;Reconocido
2019 - Convocatoria 833 - 2018;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;No;Reconocido
2017 - Convocatoria 781 - 2017;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;SÍ;C
2016 - Convocatoria 737 - 2015;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;SÍ;C
2016 - Convocatoria 737 - 2015;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;SÍ;D
2015 - Convocatoria 693 - 2014;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;SÍ;D
2015 - Convocatoria 693 - 2014;COL0157969;IMAGENOLOGÍA FUCS;JORGE ALBERTO CARRILLO BAYONA;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0158019;GRUPO DE INVESTIGACIÓN, INNOVACIÓN, DESARROLLO SOCIAL, EMPRESARIAL Y TECNOLÓGICO;HENRY MAURICIO ROJAS MACHUCA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0158019;GRUPO DE INVESTIGACIÓN, INNOVACIÓN, DESARROLLO SOCIAL, EMPRESARIAL Y TECNOLÓGICO;SAMUEL LEONARDO ROJAS SERRANO;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0158108;SOCIOLOGÍA DE LO SIMBÓLICO;LUZ TERESA GÓMEZ DE MANTILLA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0158108;SOCIOLOGÍA DE LO SIMBÓLICO;LUZ TERESA GÓMEZ DE MANTILLA;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0158171;GRUCALPRO;JULIO CÉSAR CAICEDO ERASO;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0158171;GRUCALPRO;FÉLIX OCTAVIO DÍAZ ARANGO;Si;SÍ;D
2017 - Convocatoria 781 - 2017;COL0158171;GRUCALPRO;FÉLIX OCTAVIO DÍAZ ARANGO;Si;Sí;B
2019 - Convocatoria 833 - 2018;COL0158449;GRUPO DE INVESTIGACIÓN EN METROLOGÍA CIENTÍFICA E INDUSTRIAL (GIMCI);NELSON BAHAMÓN CORTÉS;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0158449;GRUPO DE INVESTIGACIÓN EN METROLOGÍA CIENTÍFICA E INDUSTRIAL (GIMCI);NELSON BAHAMÓN CORTÉS;Si;No;Reconocido
2016 - Convocatoria 737 - 2015;COL0158449;GRUPO DE INVESTIGACIÓN EN METROLOGÍA CIENTÍFICA E INDUSTRIAL (GIMCI);NELSON BAHAMÓN CORTÉS;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0158467;GRUPO DE INVESTIGACIÓN CARDIOVASCULAR DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;GUILLERMO MORA PABON;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0158467;GRUPO DE INVESTIGACIÓN CARDIOVASCULAR DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;GUILLERMO MORA PABON;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0158467;GRUPO DE INVESTIGACIÓN CARDIOVASCULAR DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;GUILLERMO MORA PABON;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0158467;GRUPO DE INVESTIGACIÓN CARDIOVASCULAR DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;GUILLERMO MORA PABON;Si;SÍ;C
2017 - Convocatoria 781 - 2017;COL0158467;GRUPO DE INVESTIGACIÓN CARDIOVASCULAR DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;GUILLERMO MORA PABON;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0158529;CIRUGIA Y TRAUMA CYTRA;JUAN FELIPE SANJUAN MARIN;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0158529;CIRUGIA Y TRAUMA CYTRA;JUAN FELIPE SANJUAN MARIN;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0158529;CIRUGIA Y TRAUMA CYTRA;WILMER FERNANDO BOTACHE CAPERA;Si;Sí;Reconocido
2017 - Convocatoria 781 - 2017;COL0158529;CIRUGIA Y TRAUMA CYTRA;WILMER FERNANDO BOTACHE CAPERA;Si;Sí;Reconocido
2019 - Convocatoria 833 - 2018;COL0158547;PENSAMIENTO ÉTICO Y PROBLEMAS MORALES CONTEMPORÁNEOS;ELÍAS MANACED REY VÁSQUEZ;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0158547;PENSAMIENTO ÉTICO Y PROBLEMAS MORALES CONTEMPORÁNEOS;RAÚL CUADROS CONTRERAS;Si;SÍ;D
2017 - Convocatoria 781 - 2017;COL0158547;PENSAMIENTO ÉTICO Y PROBLEMAS MORALES CONTEMPORÁNEOS;DIEGO FER-NANDO SILVA PRADA;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0158565;CONFIGURACIONES;OSCAR IVÁN LONDOÑO ZAPATA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0158565;CONFIGURACIONES;ELSA MARÍA ORTIZ CASALLAS;Si;Sí;Reconocido
2019 - Convocatoria 833 - 2018;COL0158618;C.I.M. GLOBAL METRIC;LUIS EDUARDO ZAMBRANO VALENCIA;Si;Sí;Reconocido
2017 - Convocatoria 781 - 2017;COL0158618;C.I.M. GLOBAL METRIC;LUIS EDUARDO ZAMBRANO VALENCIA;Si;Sí;Reconocido
2019 - Convocatoria 833 - 2018;COL0158663;RECETAS, FORMULAS Y TURISMO;SANDRA MILENA CAMARGO SILVA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0158663;RECETAS, FORMULAS Y TURISMO;BERSARIÓN GÓMEZ HERNÁNDEZ;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0158663;RECETAS, FORMULAS Y TURISMO;BERSARIÓN GÓMEZ HERNÁNDEZ;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0158699;INVESTIGACIÓN TECNOLÓGICA APLICADA ITA;FRANCISCO PAEZ MORALES;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0158707;GRUPO DE INVESTIGACIÓN EN INGENIERÍA APLICADA;DIANA MILENA CAICEDO CONCHA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0158707;GRUPO DE INVESTIGACIÓN EN INGENIERÍA APLICADA;DIANA MILENA CAICEDO CONCHA;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0158707;GRUPO DE INVESTIGACIÓN EN INGENIERÍA APLICADA;MARTHA LILIANA MORA VALENCIA;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0158752;ANÁLISIS Y APLICACIONES;EDIXON MANUEL ROJAS SANTANA;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0158752;ANÁLISIS Y APLICACIONES;EDIXON MANUEL ROJAS SANTANA;Si;Sí;Reconocido
2015 - Convocatoria 693 - 2014;COL0158761;GRUPO DE ESTUDIOS URBANO-REGIONALES DEL CARIBE;RUBÉN DARÍO GODOY GUTIÉRREZ;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0158761;GRUPO DE ESTUDIOS URBANO-REGIONALES DEL CARIBE;RUBÉN DARÍO GODOY GUTIÉRREZ;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0158761;GRUPO DE ESTUDIOS URBANO-REGIONALES DEL CARIBE;RUBÉN DARÍO GODOY GUTIÉRREZ;Si;No;Reconocido
2016 - Convocatoria 737 - 2015;COL0158761;GRUPO DE ESTUDIOS URBANO-REGIONALES DEL CARIBE;RUBÉN DARÍO GODOY GUTIÉRREZ;Si;SÍ;B
2019 - Convocatoria 833 - 2018;COL0158799;LACSER LABORATORY FOR ADVANCED COMPUTATIONAL SCIENCE AND ENGINEERING RESEARCH;JORGE ELIECER CAMARGO MENDOZA;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0158799;LACSER LABORATORY FOR ADVANCED COMPUTATIONAL SCIENCE AND ENGINEERING RESEARCH;MAIRA ALEJANDRA GARCÍA JARAMILLO;Si;SÍ;C
2017 - Convocatoria 781 - 2017;COL0158799;LACSER LABORATORY FOR ADVANCED COMPUTATIONAL SCIENCE AND ENGINEERING RESEARCH;JORGE ELIECER CAMARGO MENDOZA;Si;Sí;B
2015 - Convocatoria 693 - 2014;COL0158799;LACSER LABORATORY FOR ADVANCED COMPUTATIONAL SCIENCE AND ENGINEERING RESEARCH;MAIRA ALEJANDRA GARCÍA JARAMILLO;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0158832;EDUCACIÓN Y DERECHOS HUMANOS;PAUL CHAMBERS BURKE;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0158832;EDUCACIÓN Y DERECHOS HUMANOS;ALEXANDRA AGUDELO LÓPEZ;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0158832;EDUCACIÓN Y DERECHOS HUMANOS;ALEXANDRA AGUDELO LÓPEZ;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0158879;HYDROS;GUSTAVO ADOLFO CARRILLO SOTO;Si;Sí;Reconocido
2017 - Convocatoria 781 - 2017;COL0158879;HYDROS;GUSTAVO ADOLFO CARRILLO SOTO;Si;Sí;Reconocido
2019 - Convocatoria 833 - 2018;COL0158921;INAMOD GRUPO DE INVESTIGACIÓN APLICADA EN MODA Y DISEÑO;ANDRES GAVIRIA LONDOÑO;Si;Sí;Reconocido
2017 - Convocatoria 781 - 2017;COL0158921;INAMOD GRUPO DE INVESTIGACIÓN APLICADA EN MODA Y DISEÑO;MARISOL OSORIO BELTRÁN;Si;No;Reconocido
2019 - Convocatoria 833 - 2018;COL0158995;DIRECCIÓN & GESTIÓN DE PROYECTOS;NELSON ANTONIO MORENO MONSALVE;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0158995;DIRECCIÓN & GESTIÓN DE PROYECTOS;H. MAURICIO DIEZ SILVA;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0158995;DIRECCIÓN & GESTIÓN DE PROYECTOS;H. MAURICIO DIEZ SILVA;Si;SÍ;D
2017 - Convocatoria 781 - 2017;COL0159034;PROCESOS GEOLÓGICOS Y COMPORTAMIEN-TOS BIOLÓGICOS RELACIONADOS;JHON JAIRO SANCHEZ AGUILAR;Si;Sí;Reconocido
2019 - Convocatoria 833 - 2018;COL0159061;GEORIESGO;ELKIN DE JESÚS SALCEDO HURTADO;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159061;GEORIESGO;ELKIN DE JESÚS SALCEDO HURTADO;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0159061;GEORIESGO;ELKIN DE JESÚS SALCEDO HURTADO;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0159099;AUTORES COLOMBIANOS Y LATINOAMERICANOS;SIMONE ACCORSI;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159099;AUTORES COLOMBIANOS Y LATINOAMERICANOS;ÓSCAR WILSON OSORIO CO-RREA;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159105;EPIDEMIOLOGÍA CLÍNICA APLICADA, SISTEMAS DE INFORMACIÓN Y TECNOLOGÍAS EN SALUD;FREDY ORLANDO MENDIVELSO DUARTE;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159105;EPIDEMIOLOGÍA CLÍNICA APLICADA, SISTEMAS DE INFORMACIÓN Y TECNOLOGÍAS EN SALUD;FREDY ORLANDO MENDIVELSO DUARTE;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159105;EPIDEMIOLOGÍA CLÍNICA APLICADA, SISTEMAS DE INFORMACIÓN Y TECNOLOGÍAS EN SALUD;FREDY ORLANDO MENDIVELSO DUARTE;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159105;EPIDEMIOLOGÍA CLÍNICA APLICADA, SISTEMAS DE INFORMACIÓN Y TECNOLOGÍAS EN SALUD;FREDY ORLANDO MENDIVELSO DUARTE;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159212;ECUACIONES DIFERENCIALES DISPERSIVAS Y TEORÍA DE CONTROL;JUAN CARLOS MUÑOZ GRAJALES;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0159212;ECUACIONES DIFERENCIALES DISPERSIVAS Y TEORÍA DE CONTROL;JUAN CARLOS MUÑOZ GRAJALES;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0159212;ECUACIONES DIFERENCIALES DISPERSIVAS Y TEORÍA DE CONTROL;JUAN CARLOS MUÑOZ GRAJALES;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0159239;ANABOLEAS;LEONARDO ELÍAS ORDÓÑEZ ORDÓÑEZ;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159239;ANABOLEAS;LEONARDO ELÍAS ORDÓÑEZ ORDÓÑEZ;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159239;ANABOLEAS;LEONARDO ELÍAS ORDÓÑEZ ORDÓÑEZ;Si;Sí;Reconocido
2017 - Convocatoria 781 - 2017;COL0159239;ANABOLEAS;LEONARDO ELÍAS ORDÓÑEZ ORDÓÑEZ;Si;Sí;Reconocido
2019 - Convocatoria 833 - 2018;COL0159301;GRUPO DE INVESTIGACIÓN EN CIENCIAS ANIMALES. MACAGUAL;GUSTAVO ADOLFO CELIS PARRA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159301;GRUPO DE INVESTIGACIÓN EN CIENCIAS ANIMALES. MACAGUAL;GUSTAVO ADOLFO CELIS PARRA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159329;DESARROLLOS BIOTECNOLÓGICOS, ECOLÓGICOS Y AMBIENTALES;RAUL HERNANDO POSADA ALMANZA;Si;No;Reconocido
2019 - Convocatoria 833 - 2018;COL0159348;MÚSICA Y DESARROLLO HUMANO;RODRIGO IVÁN DÍAZ SÁNCHEZ;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159348;MÚSICA Y DESARROLLO HUMANO;LUIS AUGUSTO MESA ZABALA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0159348;MÚSICA Y DESARROLLO HUMANO;LUIS AUGUSTO MESA ZABALA;Si;SÍ;D
2015 - Convocatoria 693 - 2014;COL0159348;MÚSICA Y DESARROLLO HUMANO;LUIS AUGUSTO MESA ZABALA;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0159366;CENTRO DE DESARROLLO TECNOLÓGICO AEROESPACIAL PARA LA DEFENSA CETAD;JIMMY ANDERSON FLOREZ ZULUAGA;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159366;CENTRO DE DESARROLLO TECNOLÓGICO AEROESPACIAL PARA LA DEFENSA CETAD;JIMMY ANDERSON FLOREZ ZULUAGA;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159366;CENTRO DE DESARROLLO TECNOLÓGICO AEROESPACIAL PARA LA DEFENSA CETAD;JIMMY ANDERSON FLOREZ ZULUAGA;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159366;CENTRO DE DESARROLLO TECNOLÓGICO AEROESPACIAL PARA LA DEFENSA CETAD;JIMMY ANDERSON FLOREZ ZULUAGA;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159366;CENTRO DE DESARROLLO TECNOLÓGICO AEROESPACIAL PARA LA DEFENSA CETAD;JIMMY ANDERSON FLOREZ ZULUAGA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159366;CENTRO DE DESARROLLO TECNOLÓGICO AEROESPACIAL PARA LA DEFENSA CETAD;JIMMY ANDERSON FLOREZ ZULUAGA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159366;CENTRO DE DESARROLLO TECNOLÓGICO AEROESPACIAL PARA LA DEFENSA CETAD;JIMMY ANDERSON FLOREZ ZULUAGA;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159375;TESLA;JORGE ABEL CASTAÑEDA SALAZAR;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159375;TESLA;JORGE ABEL CASTAÑEDA SALAZAR;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0159375;TESLA;JORGE ABEL CASTAÑEDA SALAZAR;Si;SÍ;D
2015 - Convocatoria 693 - 2014;COL0159375;TESLA;JORGE ABEL CASTAÑEDA SALAZAR;Si;SÍ;D
2017 - Convocatoria 781 - 2017;COL0159428;INNOVACIÓN, DESARROLLO Y AVANCES EN ENDOCRINOLOGÍA;JAIME ALEJANDRO HINCAPIÉ GARCÍA;Si;No;Reconocido
2019 - Convocatoria 833 - 2018;COL0159455;MIMETISMO MOLECULAR DE LOS AGENTES INFECCIOSOS;JOSÉ MANUEL LOZANO MORENO;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0159455;MIMETISMO MOLECULAR DE LOS AGENTES INFECCIOSOS;JOSÉ MANUEL LOZANO MORENO;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0159455;MIMETISMO MOLECULAR DE LOS AGENTES INFECCIOSOS;JOSÉ MANUEL LOZANO MORENO;Si;SÍ;A
2019 - Convocatoria 833 - 2018;COL0159491;GRUPO DE INVESTIGACIÓN EN METALURGIA FÍSICA DE PROCESOS DE MANUFACTURA GIMEFP;ERNESTO CAMARGO SUAREZ;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159544;ID&SI;OLMER GARCIA BEDOYA;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0159544;ID&SI;OLMER GARCIA BEDOYA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0159544;ID&SI;OSWALDO ENRIQUE VELEZ LANGS;Si;SÍ;D
2015 - Convocatoria 693 - 2014;COL0159544;ID&SI;OSWALDO ENRIQUE VELEZ LANGS;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0159571;DERECHO, INNOVACIÓN Y DESARROLLO SOCIAL;JORGE LUIS SANCHEZ MEZA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159571;DERECHO, INNOVACIÓN Y DESARROLLO SOCIAL;ALEJANDRA ZULETA MEDINA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0159571;DERECHO, INNOVACIÓN Y DESARROLLO SOCIAL;ALEJANDRA ZULETA MEDINA;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0159571;DERECHO, INNOVACIÓN Y DESARROLLO SOCIAL;ALEJANDRA ZULETA MEDINA;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0159615;BIOMEDICINA;SANDRA CATALINA GARZÓN CASTAÑO;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159615;BIOMEDICINA;FERNANDO RAFAEL SILLER LÓPEZ;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0159615;BIOMEDICINA;FERNANDO RAFAEL SILLER LÓPEZ;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0159615;BIOMEDICINA;FERNANDO RAFAEL SILLER LÓPEZ;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0159679;GRUPO UNINORTE DE INVESTIGACIÓN MUSICAL;JHANY LARA ISER;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159679;GRUPO UNINORTE DE INVESTIGACIÓN MUSICAL;JHANY LARA ISER;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0159679;GRUPO UNINORTE DE INVESTIGACIÓN MUSICAL;JHANY LARA ISER;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0159731;GESTION AMBIENTAL USTA VILLAVICENCIO GAUV;CHRISTIAN JOSÉ ROJAS REINA;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159802;GRUPO DE INVESTIGACIÓN EN RADIOBIOLOGÍA CLÍNICA, MOLECULAR Y CELULAR;PABLO MORENO ACOSTA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0159802;GRUPO DE INVESTIGACIÓN EN RADIOBIOLOGÍA CLÍNICA, MOLECULAR Y CELULAR;PABLO MORENO ACOSTA;Si;SÍ;D
2017 - Convocatoria 781 - 2017;COL0159802;GRUPO DE INVESTIGACIÓN EN RADIOBIOLOGÍA CLÍNICA, MOLECULAR Y CELULAR;PABLO MORENO ACOSTA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0159885;AMBIENTE, SOSTENIBILIDAD Y PRODUCCIÓN (ATTIA);JUAN DE JESÚS VARGAS MARTÍNEZ;Si;Sí;Reconocido
2016 - Convocatoria 737 - 2015;COL0159885;AMBIENTE, SOSTENIBILIDAD Y PRODUCCIÓN (ATTIA);JUAN DE JESÚS VARGAS MARTÍNEZ;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0159956;DESARROLLO DE ESTUDIOS Y TECNOLOGÍAS AMBIENTALES DEL CARBONO (DESTACAR);MARLON JOSÉ BASTIDAS BARRANCO;Si;Sí;A
2015 - Convocatoria 693 - 2014;COL0159956;DESARROLLO DE ESTUDIOS Y TECNOLOGÍAS AMBIENTALES DEL CARBONO (DESTACAR);MARLON JOSÉ BASTIDAS BARRANCO;Si;SÍ;D
2016 - Convocatoria 737 - 2015;COL0159956;DESARROLLO DE ESTUDIOS Y TECNOLOGÍAS AMBIENTALES DEL CARBONO (DESTACAR);MARLON JOSÉ BASTIDAS BARRANCO;Si;SÍ;C
2017 - Convocatoria 781 - 2017;COL0159956;DESARROLLO DE ESTUDIOS Y TECNOLOGÍAS AMBIENTALES DEL CARBONO (DESTACAR);MARLON JOSÉ BASTIDAS BARRANCO;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0159983;GRUPO DE INVESTIGACIÓN EN MATEMÁTICA EDUCATIVADELTA;HUMBERTO BARRIOS ESCOBAR;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0159983;GRUPO DE INVESTIGACIÓN EN MATEMÁTICA EDUCATIVADELTA;SAUL VIDES GOMEZ;Si;SÍ;D
2017 - Convocatoria 781 - 2017;COL0160017;FARMA ID;MAURICIO GOMEZ NAVARRETE;Si;No;Reconocido
2016 - Convocatoria 737 - 2015;COL0160017;FARMA ID;MAURICIO GOMEZ NAVARRETE;Si;SÍ;D
2019 - Convocatoria 833 - 2018;COL0160044;MICRO Y NANOANÁLISIS;MAGNOLIA HERRERA MARCHENA;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0160044;MICRO Y NANOANÁLISIS;MAGNOLIA HERRERA MARCHENA;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0160044;MICRO Y NANOANÁLISIS;MAGNOLIA HERRERA MARCHENA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0160044;MICRO Y NANOANÁLISIS;MAGNOLIA HERRERA MARCHENA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0160044;MICRO Y NANOANÁLISIS;MAGNOLIA HERRERA MARCHENA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0160044;MICRO Y NANOANÁLISIS;MAGNOLIA HERRERA MARCHENA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0160044;MICRO Y NANOANÁLISIS;MAGNOLIA HERRERA MARCHENA;Si;SÍ;C
2016 - Convocatoria 737 - 2015;COL0160044;MICRO Y NANOANÁLISIS;MAGNOLIA HERRERA MARCHENA;Si;SÍ;C
2016 - Convocatoria 737 - 2015;COL0160044;MICRO Y NANOANÁLISIS;MAGNOLIA HERRERA MARCHENA;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0160044;MICRO Y NANOANÁLISIS;MAGNOLIA HERRERA MARCHENA;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0160044;MICRO Y NANOANÁLISIS;MAGNOLIA HERRERA MARCHENA;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0160089;UNIDAD DE CIRUGÍA PEDIÁTRICA DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;IVAN DARÍO MOLINA RAMÍREZ;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0160089;UNIDAD DE CIRUGÍA PEDIÁTRICA DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;IVAN DARÍO MOLINA RAMÍREZ;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0160089;UNIDAD DE CIRUGÍA PEDIÁTRICA DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;IVAN DARÍO MOLINA RAMÍREZ;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0160089;UNIDAD DE CIRUGÍA PEDIÁTRICA DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;IVAN DARÍO MOLINA RAMÍREZ;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0160231;CENOP INVESTIGA;FREDY GUZMÁN ARIAS;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0160231;CENOP INVESTIGA;CARLOS RENÉ SACRISTÁN RONDÓN;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0160259;GRUPO DE INVESTIGACIÓN EN CUIDADO CRÍTICO Y REHABILITACIÓN FUNCIONAL;ROBERTO CARLOS REBOLLEDO COBOS;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0160259;GRUPO DE INVESTIGACIÓN EN CUIDADO CRÍTICO Y REHABILITACIÓN FUNCIONAL;ROBERTO CARLOS REBOLLEDO COBOS;Si;SÍ;D
2017 - Convocatoria 781 - 2017;COL0160259;GRUPO DE INVESTIGACIÓN EN CUIDADO CRÍTICO Y REHABILITACIÓN FUNCIONAL;ROBERTO CARLOS REBOLLEDO COBOS;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0160278;INDEL: EQUIPO DE INGENIERÍA DE INVESTI-GACIÓN Y DESARROLLO E-LERNOVA;KATHERINE STRIEDINGER MELO;Si;SÍ;D
2017 - Convocatoria 781 - 2017;COL0160278;INDEL: EQUIPO DE INGENIERÍA DE INVESTI-GACIÓN Y DESARROLLO E-LERNOVA;KATHERINE STRIEDINGER MELO;Si;No;Reconocido
2019 - Convocatoria 833 - 2018;COL0160287;CTCM SENA BOGOTÁ;OSCAR FABIAN MARTÍNEZ GUERRERO;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0160287;CTCM SENA BOGOTÁ;CRISTIAN ROLANDO ARDILA PEREZ;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0160329;GRUPO DE INVESTIGACIÓN EN CIENCIAS BÁSICAS SIGMA;HECTOR ALIRIO GUERRERO;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0160329;GRUPO DE INVESTIGACIÓN EN CIENCIAS BÁSICAS SIGMA;HECTOR ALIRIO GUERRERO;Si;SÍ;C
